measure_number	beat	offset	duration	notes
30	4.0	119.0	1/3	('G#1', 'G#2', 'C#5')
30	13/3	358/3	1/3	('G#1', 'G#2', 'E4', 'C#5')
30	14/3	359/3	1/3	('G#1', 'G#2', 'G#4', 'C#5')
31	1.0	120.0	1/3	('G#1', 'G#2')
31	4/3	361/3	1/3	('G#1', 'G#2', 'E3')
31	5/3	362/3	1/3	('G#1', 'G#2', 'G#3')
31	2.0	121.0	1/3	('G#1', 'G#2', 'C#4')
31	7/3	364/3	1/3	('G#1', 'G#2', 'E3', 'C#4')
31	8/3	365/3	1/3	('G#1', 'G#2', 'G#3', 'C#4')
31	3.0	122.0	1/3	('G#1', 'G#2', 'E4')
31	10/3	367/3	1/3	('G#1', 'G#2', 'E3', 'E4')
31	11/3	368/3	1/3	('G#1', 'G#2', 'G#3', 'E4')
31	4.0	123.0	1/3	('G#1', 'G#2', 'C#4')
31	13/3	370/3	1/3	('G#1', 'G#2', 'E3', 'C#4')
31	14/3	371/3	1/3	('G#1', 'G#2', 'G#3', 'C#4')
32	1.0	124.0	1/3	('G#1', 'G#2', 'D#3')
32	4/3	373/3	1/3	('G#1', 'G#2', 'A3')
32	5/3	374/3	1/3	('G#1', 'G#2', 'F#3')
32	2.0	125.0	1/3	('G#1', 'G#2', 'B#3')
32	7/3	376/3	1/3	('G#1', 'G#2', 'A3')
32	8/3	377/3	1/3	('G#1', 'G#2', 'D#4')
32	3.0	126.0	1/3	('G#1', 'G#2', 'B#3')
32	10/3	379/3	1/3	('G#1', 'G#2', 'F#4')
32	11/3	380/3	1/3	('G#1', 'G#2', 'D#4')
32	4.0	127.0	1/3	('G#1', 'G#2', 'A4')
32	13/3	382/3	1/3	('G#1', 'G#2', 'F#4')
32	14/3	383/3	1/3	('G#1', 'G#2', 'B#4')
33	1.0	128.0	1/3	('G#1', 'G#2', 'E3')
33	4/3	385/3	1/3	('G#1', 'G#2', 'C#4')
33	5/3	386/3	1/3	('G#1', 'G#2', 'G#3')
33	2.0	129.0	1/3	('G#1', 'G#2', 'E4')
